username, created_at, lng, lat, text
ezsaidezdone, Fri Jan 22 03:30:48 +0000 2021, -77.014398, 38.898603, @HarlemBKChina Was this supposed to be a read??? 
elsita_93, Fri Jan 22 03:30:48 +0000 2021, -95.446486, 29.838495, @mgaxo808 A donde vas bitch 
JaeGlizzy, Fri Jan 22 03:30:48 +0000 2021, -76.593943, 24.074967, Smt 
GodzStepson, Fri Jan 22 03:30:48 +0000 2021, -90.011008, 29.982601, Bout to gobble the glizzy lol https://t.co/Iz5EFgVU4R 
CollierSZLive, Fri Jan 22 03:30:49 +0000 2021, -82.734119, 38.549629, @DustinDopirak @ZachOsterman Shooters gonna shoot. 
ieshia_rena, Fri Jan 22 03:30:49 +0000 2021, -86.244729, 32.364145, Ayyyye congratulations friend 🎊🎉🎉 
lddmom3, Fri Jan 22 03:30:49 +0000 2021, -71.326858, 42.636248, @JeanetteDuff4 Ty my friend. ❤️❤️❤️ 
redmeg8, Fri Jan 22 03:30:49 +0000 2021, -83.601802, 42.245713, @mhdksafa Duh 
smooth_strokin, Fri Jan 22 03:30:49 +0000 2021, -84.314792, 33.706392, I can't vividly remember a time where I saw Eric Bledsoe hit a shot, past his Clippers days.. 
Jessbrollin, Fri Jan 22 03:30:49 +0000 2021, -95.446486, 29.838495, I’m slut for 😩 
gamboaw_17, Fri Jan 22 03:30:49 +0000 2021, -83.804475, 27.698682, @CarlosDAleman @MLS @DerekDodson6 @adidassoccer Exciting pick up bro! Hopefully he breaks into the league and adapts quickly 
paritosh_bhide, Fri Jan 22 03:30:49 +0000 2021, -122.935530, 45.530779, Someone explain how probabilities work to Fitz🤦🏽‍♂️ 
DanFosterVO, Fri Jan 22 03:30:49 +0000 2021, -118.411907, 34.020789, I didn’t need to read the article, nor did I need their cart. 
Ayee_its_Aquaa, Fri Jan 22 03:30:49 +0000 2021, -71.463968, 41.768938, oh wow, Keyshia came back first https://t.co/CKxDJePGlA 
Brieyonce, Fri Jan 22 03:30:49 +0000 2021, -77.604684, 41.117936, 1. When did she shade her?2. What? 
TdoubleuT3, Fri Jan 22 03:30:50 +0000 2021, -80.865941, 35.788951, @TheStuartHead @AppState_FB Let’s Go!! Big Welcome from App Nation. 
Larellj, Fri Jan 22 03:30:50 +0000 2021, -101.897173, 33.570526, The election over with. I don’t see politicians in the #Verzuz  comments pandering to us anymore @verzuzonline 
BonSnow_, Fri Jan 22 03:30:50 +0000 2021, -87.533406, 33.196601, Sitting next to Jeff Bezos at Copper Top this is CRAZY 
johnlee1021, Fri Jan 22 03:30:50 +0000 2021, -87.967375, 44.463976, @xy_dolphin_3 污染控制很严格。 
wadrizzy, Fri Jan 22 03:30:50 +0000 2021, -84.563414, 33.811316, @JaQuelKnight 😂😂😂 I literally just said the same thing. Ain’t no breaks bih🤣 
PLAYBOIRXCH, Fri Jan 22 03:30:50 +0000 2021, -84.303599, 33.890188, Drunk high watching the versuz being toxic texting niggas 😭 
K_TOWN_KEN, Fri Jan 22 03:30:51 +0000 2021, -84.156379, 33.738038, Funniest tweet ever 
alemiredesigns, Fri Jan 22 03:30:51 +0000 2021, -75.800141, 45.248791, @Chris_Charizo https://t.co/HOolgrgobp 
pblomeke, Fri Jan 22 03:30:51 +0000 2021, -85.950051, 39.963761, @b_ricond @IndianaMBB @TrayceJackson #GW’s 
DonnaBeckman15, Fri Jan 22 03:30:51 +0000 2021, -94.822776, 29.287575, @w_terrence 🛋📭💊💊 
saracho91, Fri Jan 22 03:30:51 +0000 2021, -109.841790, 27.713653, Definitivamente una de las mejores cosas de mo ranchito es la comida. 🐖 
janielsmalfoy, Fri Jan 22 03:30:51 +0000 2021, -81.972705, 28.049601, i’m so glad i cut my hair again 
Mackey_Press, Fri Jan 22 03:30:51 +0000 2021, -122.637309, 48.289541, If someone hasn’t invented a name for when you have cereal but no milk, well, somebody get on this tragedy. 
macmcosker, Fri Jan 22 03:30:51 +0000 2021, -122.435979, 37.770657, I few like I’m one good mood away from getting into a big Elvis phase 
taylorbilt, Fri Jan 22 03:30:51 +0000 2021, -86.680738, 32.576227, Unfortunately,  all the slow rolls do is piss off the innocent Americans that we want to keep stocked with goods. T… https://t.co/klCimiZlxO 
Littlem17477016, Fri Jan 22 03:30:51 +0000 2021, -87.878513, 30.536468, @Franklin_Graham I have no problem with GOD, it’s his FAN club I a problem with. 
_LouBou_, Fri Jan 22 03:30:51 +0000 2021, -73.948775, 40.655138, @leezybaby @TheShadeRoom I love him so much 🤣🤣🥺🥺 
GavinKe00708866, Fri Jan 22 03:30:51 +0000 2021, -87.732013, 41.833585, @deshaunwatson The Bears will be there for you @deshaunwatson 
jayhoneyy_, Fri Jan 22 03:30:51 +0000 2021, -76.913544, 38.634628, thank you @tevincampbelll 
DaveBake_, Fri Jan 22 03:30:51 +0000 2021, -97.742292, 35.500630, CLIP: Davidson Has A Message For Men That STILL Send Dick Pics In 2021 https://t.co/j149juTjYJ 
247Lush, Fri Jan 22 03:30:51 +0000 2021, -117.287924, 33.121484, @KenTremendous They all took it personally even though Biden didn’t point anyone out.  Like, if that offends you, t… https://t.co/XkHpyXLG1X 
matthewm331, Fri Jan 22 03:30:51 +0000 2021, -85.978600, 35.830522, https://t.co/gHlrEiPuxY 
CompassJobBoard, Fri Jan 22 03:30:51 +0000 2021, -120.719368, 35.554976, Learn the key ingredients needed for an exciting and long career with Crothall! We’re hiring in #Templeton, CA.… https://t.co/pTRk8AjSmo 
supsab_, Fri Jan 22 03:30:52 +0000 2021, -74.204907, 40.079605, THISSS 
dietcokaine, Fri Jan 22 03:30:52 +0000 2021, -80.126130, 25.879638, My bf acting weird hmmm 
CJtheCch, Fri Jan 22 03:30:52 +0000 2021, -86.244729, 32.364145, Everyone go follow the new Valiant Cross Academy Football Page @Valiant_FB2021 Will be dropping uniform samples tomorrow at 12 noon!!!!! 
ultabeautyjobs, Fri Jan 22 03:30:52 +0000 2021, -75.140583, 39.923491, Interested in a job in Philadelphia, PA? This could be a great fit: https://t.co/52Gghsf0Ps #Cosmetology #SalonLife 
somespoiltbrat, Fri Jan 22 03:30:52 +0000 2021, -83.654079, 32.848817, No cuz fr 
natalee_jb, Fri Jan 22 03:30:52 +0000 2021, -118.411907, 34.020789, Bernie was officially the best part of the inauguration sorrynotsorry 
ODDRAMIRO, Fri Jan 22 03:30:52 +0000 2021, -95.446486, 29.838495, @jiggylikej 
LLCoolJoeyJ, Fri Jan 22 03:30:52 +0000 2021, -83.099288, 42.352787, Keyshia tryna get off while Ashanti not there. 
Domingo01539799, Fri Jan 22 03:30:52 +0000 2021, -118.411907, 34.020789, https://t.co/xSqN73gLay 
THE_SHU_MAN, Fri Jan 22 03:30:52 +0000 2021, -95.446486, 29.838495, @BigSDot Yes sir 
SueChainz_, Fri Jan 22 03:30:52 +0000 2021, -81.367773, 28.501678, Man who is the DJ? 
itsdaffsworld, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Oh lol 
michael_muldoon, Fri Jan 22 03:30:52 +0000 2021, -82.324702, 28.224502, @mikeoliver93 All that? I thought a census was only to count the population and the Electoral College. 
jamescurtin, Fri Jan 22 03:30:52 +0000 2021, -75.770041, 42.746617, @RepMTG @JoeBiden Stupid 
DOPEITSNICK, Fri Jan 22 03:30:52 +0000 2021, -118.194026, 33.938045, They Really Don’t, But This Is A Beautiful Custom, Nonetheless 
_sarah_rose_22, Fri Jan 22 03:30:52 +0000 2021, -71.112377, 42.378197, “Not all men” you’re right, Doug Emhoff wouldn’t do this 
iamAjayCarr, Fri Jan 22 03:30:52 +0000 2021, -83.173867, 32.678207, Oh! Keyshia can bring her ass back from a break on time but can’t get to set on time—ohh okay!  #Verzuz https://t.co/DPZCbUNubF 
_Acebby, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Aite where they at? 
JakeBullington, Fri Jan 22 03:30:52 +0000 2021, -93.389864, 41.938228, @guest_evan it’s a banger 
CoachAlan_, Fri Jan 22 03:30:52 +0000 2021, -93.475362, 31.560159, don’t ever bet against the M 😎 
Reggie_IsDead, Fri Jan 22 03:30:52 +0000 2021, -75.117998, 40.004866, Lil Overdose 
Sarayaandris, Fri Jan 22 03:30:52 +0000 2021, -84.433106, 33.767195, 😭 
LAD_4_Life, Fri Jan 22 03:30:53 +0000 2021, -115.133373, 36.249124, I should have expected the abs to be sore too 💀 
CindyrellaOG, Fri Jan 22 03:30:53 +0000 2021, -95.446486, 29.838495, Bro wtf 
DefendInDallas, Fri Jan 22 03:30:53 +0000 2021, -96.835249, 33.150140, Add this to my “I haven’t had his nightmare yet, but I’m sure it’s coming in the next few nights” list. Hooray for… https://t.co/H1VKJYyFsR 
quickmancometh, Fri Jan 22 03:30:53 +0000 2021, -119.025163, 35.346902, @PreetBharara There was a drizzle. Not a drain 
LaRoderickk, Fri Jan 22 03:30:53 +0000 2021, -96.761753, 32.819858, I forgot about this one. 
Renetira14, Fri Jan 22 03:30:53 +0000 2021, -123.029015, 44.935084, 🗣 THAT ATTENTION HIT DIFFERENT WHEN IT’S FROM WHO YOU WANT🤞🏾‼️💯 
Santiagoelcuco, Fri Jan 22 03:30:53 +0000 2021, -111.928142, 33.392884, Gen Z out here LOST 
mattcdelacruz, Fri Jan 22 03:30:53 +0000 2021, -121.979527, 37.523645, a pretty girl duetted my tik tok and got 10x more views and likes than me… pretty privilege is real… https://t.co/FdmdiUXJFe 
